date,open,close_last,volume,high,low
1654207200.0,118.07,119.83,4584611.0,121.5,117.56
1654120800.0,117.13,121.26,5177244.0,123.0,116.27
1654034400.0,121.05,116.72,6879606.0,121.07,114.4
1653948000.0,120.5,120.87,9117555.0,122.3,117.16
1653602400.0,116.0,120.5,7391500.0,120.7,115.77
1653516000.0,109.74,114.3,6883200.0,115.55,108.11
1653429600.0,105.89,110.4,6203324.0,111.94,104.97
1653343200.0,111.28,106.24,6415752.0,111.42,103.74
1653256800.0,113.55,113.28,6000751.0,115.15,110.93
1652997600.0,115.46,112.55,6961860.0,116.25,108.5
1652911200.0,108.18,114.17,8926616.0,116.35,107.45
1652824800.0,116.11,108.03,9718744.0,117.04,107.62
1652738400.0,119.97,117.5,6962904.0,120.18,114.51
1652652000.0,121.0,114.44,7588370.0,121.07,113.25
1652392800.0,119.96,121.45,8595379.0,123.29,118.82
1652306400.0,113.66,115.94,9264303.0,120.49,111.22
1652220000.0,114.53,116.15,13661360.0,123.77,112.37
1652133600.0,122.95,116.13,13638470.0,123.46,113.53
1652047200.0,131.76,119.37,14430890.0,131.89,118.83
1651788000.0,142.7,135.84,9573058.0,143.11,133.04
1651701600.0,152.19,143.09,11367230.0,153.88,140.86
1651615200.0,152.55,156.18,20598070.0,158.74,145.87
1651528800.0,154.09,145.0,16774660.0,154.49,141.58
1651442400.0,153.21,152.78,5945287.0,155.13,147.21
1651183200.0,158.88,153.21,4033057.0,163.24,153.0
1651096800.0,154.01,159.74,4854490.0,161.26,153.66
1651010400.0,153.82,152.23,4825954.0,157.3,150.44
1650924000.0,158.4,153.04,4075004.0,159.2,152.8
1650837600.0,154.33,158.39,3868115.0,159.79,152.1
1650578400.0,157.84,156.09,3863419.0,161.67,154.78
1650492000.0,168.98,157.91,4714572.0,170.93,156.68
1650405600.0,172.61,164.55,3997912.0,172.61,164.31
1650319200.0,165.74,170.12,2857124.0,170.82,165.71
1650232800.0,169.27,165.74,3339887.0,170.12,164.35
1649887200.0,171.66,170.7,5125142.0,174.64,170.3
1649800800.0,160.84,171.85,7211893.0,172.96,160.65
1649714400.0,163.7,160.11,4113036.0,166.11,157.28
1649628000.0,159.84,160.25,3877215.0,163.57,157.41
1649368800.0,162.52,162.56,3448377.0,164.9,159.35
1649282400.0,163.19,165.91,4146557.0,167.86,161.71
1649196000.0,167.05,164.66,4287691.0,168.77,161.58
1649109600.0,177.19,171.21,4064959.0,179.09,170.12
